segment_id,segment_description,road_name,lga,region,district,start_lat,start_lon,gda_x,gda_y
1880,TARCUTTA BYPASS NTH END LONG TYNE,HUME HIGHWAY,WAGGA WAGGA,South,HMO South M3Ed3,-34.17278958333333,149.6535546,4392990.563727777,9547729.812752778
1881,SOUTH END SQUIRES CRESC,LAWRENCE HARGRAVE DR,WOLLONGONG,South,Russell Vale M3Ed2,-34.2867491,150.9482644,4378246.3181,9663157.0467
1882,NORTH END SQUIRES CRESC,LAWRENCE HARGRAVE DR,WOLLONGONG,South,Russell Vale M3Ed2,-34.2836743,150.9521945,4378573.2162,9663531.2509
1885,COOPERBUNG DR SB,PACIFIC HIGHWAY,PORT MACQUARIE - HASTINGS,North,Mid North Coast M3Ed3,-30.64906124,151.90395208,4777118.385,9769759.11524
1890,TARCUTTA CREEK,HUME HIGHWAY,WAGGA WAGGA,South,HMO South M3Ed3,-35.56221592666667,150.10446868,4238943.18816,9582491.365733333
1895,HOYS ROAD,NEW ENGLAND HIGHWAY,ARMIDALE REGIONAL,North,New England M3Ed3,-30.483226733333336,151.6790986,4796560.415216667,9749210.6512
1899,BARRYS CR SB,PACIFIC HIGHWAY,PORT MACQUARIE - HASTINGS,North,Mid North Coast M3Ed2,-31.26264215,152.8146248,4704814.78635,9853316.678399999
1900,TARCUTTA BYPASS STH END LONG TYNE,HUME HIGHWAY,WAGGA WAGGA,South,HMO South M3Ed3,-32.452742573529406,150.3525177735294,4581728.5283558825,9619122.963861765
1901,"100M NORTH OF FIRE STATION, SCARBOROUGH N/B",LAWRENCE HARGRAVE DR,WOLLONGONG,South,Russell Vale M3Ed3,-34.2671112,150.9639236,4380366.8647,9664679.2448
1905,PUDDLEDOCK ROAD,NEW ENGLAND HIGHWAY,ARMIDALE REGIONAL,North,New England M3Ed3,-30.466033684615386,151.68055074615384,4798458.702307693,9749435.359161539
1909,MINGALETTA RD SB,PACIFIC HIGHWAY,KEMPSEY,North,Mid North Coast M3Ed3,-31.233413,152.8237348,4708001.1144,9854363.1941
1910,KIWELI KENNELS,NEW ENGLAND HIGHWAY,ARMIDALE REGIONAL,North,New England M3Ed3,-33.319054726666664,150.97021710666667,4484660.6874,9672208.97628
1912,MC CANNAS ROAD,NEW ENGLAND HIGHWAY,ARMIDALE REGIONAL,North,New England M3Ed3,-30.4433045,151.67420787499998,4801003.802075,9748939.442325
1914,SMITHS CR NB,PACIFIC HIGHWAY,KEMPSEY,North,Mid North Coast M3Ed3,-31.215487533333334,152.82345263333335,4709986.339533334,9854447.061566666
1915,DUVAL CREEK,NEW ENGLAND HIGHWAY,ARMIDALE REGIONAL,North,New England M3Ed3,-30.43331655,151.67629281666666,4802101.26705,9749189.125633335
1920,GYMBEE,NEW ENGLAND HIGHWAY,ARMIDALE REGIONAL,North,New England M3Ed3,-30.52201741875,151.824985625,4791568.8420875,9762901.32034375
1925,230M NTH OF YELLOW PINCH DR (1ST OCC),PRINCES HIGHWAY,BEGA VALLEY,South,Bega M3Ed3,-33.854163443333334,150.70972127666667,4426306.9520166665,9646033.389703333
1930,COMATAWA CREEK - CONCRETE,HUME HIGHWAY,WAGGA WAGGA,South,HMO South M3Ed3,-32.31145781304348,150.32458217826087,4597224.834686956,9617240.644430434
1933,NARWAN GULLY,NEW ENGLAND HIGHWAY,ARMIDALE REGIONAL,North,New England M3Ed3,-30.407217324999998,151.693819415,4804916.954945,9751001.53238
1935,RAVENSWOOD RD SB,PACIFIC HIGHWAY,KEMPSEY,North,Mid North Coast M3Ed3,-31.1882138,152.8236939,4713003.3466,9854638.4473
1936,SUNNYSIDE ROAD,NEW ENGLAND HIGHWAY,ARMIDALE REGIONAL,North,New England M3Ed3,-30.4010010875,151.6951757,4805599.7219,9751162.73225625
